PTS,2PA,3PA,FTA
8626,6828,454,2360
8252,6303,908,1957
9014,6360,852,2465
8531,5671,1073,2090
8836,6233,789,2399
8783,6838,491,2177
8546,6368,626,2304
8495,5910,940,2476
8392,5988,936,2081
8046,5960,569,2247
8431,6596,488,2258
8328,6294,604,2316
8652,5819,889,2495
8556,6134,941,2259
9298,5998,1095,2539
8898,6500,843,2551
8847,6476,788,2447
8652,6070,692,2346
8884,6530,610,2259
8709,6414,414,2491
8353,6487,578,2107
8318,6209,830,2070
8267,6580,477,2003
8732,6184,916,2135
8033,6156,659,1859
8296,5918,813,2254
7801,6297,773,1942
8221,6184,597,2423
7949,5976,1041,1715
8844,6286,859,2304
8292,5448,1285,1978
8280,6016,500,2387
8447,6332,831,2128
8233,6513,803,1967
8475,5899,997,2223
7949,5788,1019,2181
7930,5978,557,2303
8461,6432,683,2495
8076,5827,908,2097
8666,5746,1137,2346
8033,5877,942,2112
8876,6038,1042,2301
8795,6657,770,2396
8291,6298,729,2292
8202,5974,714,2151
8687,6179,722,2374
8354,6170,559,2379
8229,6082,744,2162
7921,5100,1580,1948
8428,5863,984,2268
8249,5029,1409,2042
8325,5523,1187,2065
7417,5222,1033,1982
8462,6142,1200,2210
8309,5301,1160,2305
8053,5237,1396,1941
8667,5271,1602,2395
8491,4822,1757,2039
8136,5263,985,2390
7927,5837,1051,2079
8616,5596,1492,2072
8293,5556,1182,2133
8146,5237,1349,2259
7726,5203,1016,2355
8042,5441,1297,2305
8054,4948,1446,2114
9091,5487,1412,2465
7820,5641,936,2125
9073,5383,1584,2352
8451,5868,1266,2230
8056,5426,1037,2317
8742,5529,1158,2487
9055,5436,1305,2564
8726,5538,801,2483
8242,5635,1264,2013
8059,5070,1595,2012
8495,5489,1453,2284
8431,5098,1520,2119
8625,5543,1349,2004
7473,4416,1582,1775
8409,5392,2039,1975
8013,5509,1148,2173
7822,4772,1350,2206
8334,5501,1199,2340
8404,4877,1761,2106
8144,5232,973,2416
8153,5244,1374,1984
8438,5347,1359,2049
7909,4890,1458,2187
7837,5434,1056,1914
8024,5624,857,2314
7684,6004,746,2244
7971,5097,1285,1954
8571,4995,1645,2232
7746,4980,1438,2263
8552,5689,984,2472
8145,5330,1358,2321
8163,5300,1194,2407
8477,5282,1320,2261
8572,4805,1596,2424
7994,5430,1168,1953
8404,5404,1013,2302
7362,5354,1129,1998
8408,5406,1212,2076
7774,4473,1834,1955
8248,5636,1331,2199
8108,4960,1382,1984
8458,5520,1403,1848
7173,4688,1284,1773
7431,5136,1316,1918
8020,4976,1711,1992
7723,4596,1499,1995
8171,5204,1363,2180
8248,4645,1839,1992
7819,5124,1130,2336
7969,5357,1339,2074
8200,5142,1500,2330
7776,4370,1865,2022
7818,5383,920,2104
7882,5343,1093,2180
7974,5720,1371,2031
7819,4933,1294,2119
7719,4835,1662,1975
8215,5494,1356,2450
8431,5277,1428,2125
8114,5064,1401,2261
7908,5553,1058,2067
7418,5211,1180,1929
8274,4832,1583,2295
7829,5008,1624,2008
8454,5315,902,2416
7313,5179,1274,1734
8147,5677,1001,1979
7860,5336,1016,2314
7864,5685,1249,1964
7923,5440,904,2186
7931,5839,962,2009
7585,5406,801,2187
7494,5571,1183,1738
7300,5519,893,2147
7721,5435,938,2288
7237,6187,696,1912
8099,4843,1670,2120
7874,5194,1029,2136
7865,5222,1468,2047
8652,5121,1415,2743
7787,4783,1544,2082
7748,5696,703,2167
8290,5971,873,2253
8170,5991,937,2351
7509,5274,1139,1812
7387,5548,907,2138
7651,5599,810,2352
8166,5499,1211,1948
7734,5350,1047,2226
7637,5878,806,2096
7587,5324,863,2164
8246,4889,1569,2109
7781,5727,1086,2060
8279,5443,670,2644
7923,5669,898,2145
7969,5867,944,2156
7735,5993,814,1987
8146,5620,1260,2175
8072,5532,1001,2458
6952,5148,1032,2089
7950,5815,919,2205
8316,5721,1326,1751
8115,5514,1397,2116
8483,5412,1223,2506
7834,6071,1069,2147
8156,5039,1625,2145
8306,5153,1487,2008
7546,5490,1267,1826
8267,5789,1047,2368
7739,5260,1202,1827
8300,5758,1069,1982
8079,6194,716,1769
8036,5507,1374,2041
7555,5437,937,1805
8206,6144,870,2142
7771,6133,643,2226
8111,5525,1246,1934
7991,5302,1128,2029
8607,5632,1656,2016
7886,5511,882,2214
8125,5335,1611,1960
7968,5711,1171,2068
7914,5526,854,2150
7702,5543,898,2060
7921,5791,890,2107
7459,5735,933,1811
7759,4852,1633,2190
7539,5517,984,2146
7181,5461,950,1909
7561,5873,659,2040
8239,5359,1357,1954
7918,5433,1444,1964
7837,5768,1112,2233
7584,6211,964,2024
7972,5082,1412,2086
7591,5272,1159,2009
7581,5404,1063,2061
8251,5410,1275,2333
7289,4874,1384,1874
8260,5317,1481,1874
7982,5970,901,1737
7552,5466,1084,2146
7275,5083,1115,1727
7992,5527,1346,2068
7763,5684,803,2277
7710,5703,1054,1973
7824,5360,1057,1899
8343,5616,1353,2075
7886,5168,1094,2340
7978,5480,1169,1986
8007,5808,1164,1984
7959,5437,852,2280
7522,5592,947,1892
7645,5605,848,2245
7711,5416,1194,1942
7901,4785,1946,1960
7700,5586,994,2105
7335,5623,868,1958
7812,5556,1026,1980
8629,5285,1645,1994
7559,5585,1285,1756
7735,4791,1509,1954
8009,5995,994,2344
7572,5149,1480,1893
7938,5385,1195,2155
7846,5521,1147,2026
8304,5401,1439,2138
7372,5439,1096,1883
7150,5483,899,1708
7996,4994,1583,1767
8145,5840,1047,1754
7889,5622,1194,1907
7514,5176,1344,1786
8240,5233,1660,1917
7461,5721,715,2104
7802,5838,1096,1630
7925,5353,1318,1901
8578,5843,1160,2154
7932,5152,1211,2249
8014,5389,1292,1672
7494,5618,1109,1717
7871,5532,842,2430
7609,5878,786,1866
7714,5293,1141,2011
7599,4354,2155,1994
7786,5717,997,2014
7495,5850,896,2012
8444,5314,1668,1793
6901,5720,824,1850
7492,4789,1488,2021
8400,5706,1235,2382
7688,5194,1267,2044
7940,5489,1119,2271
7693,5312,1178,2177
8230,5489,1367,2129
7995,5464,1279,1936
7016,5417,1100,1689
8158,5144,1526,1911
8046,6005,804,1826
7820,5544,1041,2195
7699,5620,1075,1910
7860,5143,1582,1620
8078,5173,1590,2079
7941,5853,787,2253
7834,5627,1149,1928
7803,5341,1150,1947
8342,5702,1288,1832
7856,5027,1270,2194
7555,5308,1291,1780
7453,5471,1193,1879
7762,5548,641,2349
7502,5583,811,2077
7611,5280,1249,1976
7811,4816,1599,2095
7355,5497,1256,1834
7619,5967,786,2030
8626,5774,1456,1854
7972,5778,985,2159
7388,5346,968,2074
7649,5228,1283,2028
7362,4789,1406,1774
7493,5041,1281,2014
7771,5555,1024,2302
8052,5561,1115,2352
7930,5343,1314,2143
7402,5060,1357,1915
8039,5505,1145,2192
7753,5674,897,1743
7401,5249,1123,1856
7529,4939,1666,1937
7542,5398,1115,1732
7711,5520,1248,2000
7215,5268,992,2009
7723,5469,1202,1865
7440,5365,1102,1728
8433,5213,1498,2044
7501,5294,1140,2069
7964,4654,1936,1782
7006,5054,1294,1650
7271,5386,786,2196
7528,5287,1269,2211
7605,5699,973,1994
8304,5259,1252,2323
7729,5978,881,2096
7745,5159,1433,2048
7914,5783,904,2174
8405,5418,1273,2314
8161,5675,940,2313
7653,5368,1053,2150
8094,5265,1774,1955
7796,4898,1521,1986
7626,4594,1575,2206
7849,5699,669,2274
8095,4816,1813,2137
7661,4785,1486,2024
8327,5108,1260,2466
7973,5655,925,2229
7934,5484,1145,1820
7496,5216,1203,2039
7252,5240,1316,1830
7977,5359,1240,2060
8160,5763,916,2335
8128,5283,1453,2194
9054,4992,2026,2080
7621,5261,1161,1944
8505,5582,1396,2004
7888,5055,1395,2120
8113,4674,1824,2131
8178,4975,1681,2101
7625,5539,762,2272
8241,5296,1498,2476
7972,5342,1154,2207
8033,5032,1290,2204
7943,5582,1261,2186
8020,5260,1477,1967
8002,4947,1465,2318
8130,5262,1113,2322
8227,5596,1076,2312
7941,5107,1451,1950
8076,4953,1832,2190
7387,4838,1414,1980
7699,4738,1536,2158
7970,5600,843,2142
8154,5024,1583,2172
7558,4547,1578,2077
8191,4914,1441,2310
8020,5231,1335,2115
7522,5398,942,1895
7691,4870,1447,2187
7611,5543,885,2176
7842,5322,884,2587
7784,5371,796,2277
8147,5515,1031,2330
8886,5070,2097,1475
7285,5225,1042,1944
8106,5092,1408,2173
7837,4980,1362,1891
8411,5080,1631,2104
8287,5019,1620,2089
7573,5282,925,2466
8336,5262,1394,2496
7680,5334,1038,2203
7857,5171,1283,2178
7945,5363,1280,2136
8100,5426,1237,2083
7934,5254,1404,2133
8201,5038,1404,2045
8639,5365,1440,2449
7872,5179,1305,1988
8737,5081,1967,2113
7953,4635,1893,1906
7840,5172,1389,2125
7843,5415,903,2245
8474,4940,1724,2221
8331,5086,1362,2410
7759,4749,1539,2019
8172,5242,1472,1919
7877,5414,1089,1892
8001,4703,1676,2153
7833,5418,1256,1941
7994,4986,1370,2396
7771,5128,962,2393
7785,5585,823,2135
9037,4890,1965,1827
7717,5160,1232,2006
8303,5019,1513,2473
8079,4767,1561,1980
8130,5177,1451,1911
8157,5083,1464,1982
8322,5415,1056,2462
8556,5206,1614,2425
8054,5474,1078,2227
8245,4722,1564,2176
7959,5111,1443,2115
7981,5556,1305,2029
7903,5153,1544,2061
8234,5112,1403,2075
9074,5433,1605,2519
7992,5221,1330,1965
9105,5221,2185,2044
7931,4991,1707,1848
8527,4972,2021,2042
7692,5366,1079,2178
8904,5067,1751,2270
8257,4958,1779,2097
7491,4963,1373,1903
7956,5432,1313,1980
7839,5558,1259,1693
7857,5020,1430,2237
8270,5175,1621,1707
7948,5303,1454,2095
8567,4372,2074,2288
7923,5696,952,2137
9026,5018,1764,1977
7820,5120,1426,1841
8408,5191,1367,2272
7820,4814,1610,1774
7999,6093,939,1866
8215,5267,1459,1658
8710,5497,1095,2298
8104,5081,1614,1991
8046,4818,1633,2085
8275,4978,1355,2075
7677,4960,1339,1965
8378,5553,1293,2052
8223,4784,1670,2012
8343,5138,1632,1852
8555,5033,1477,2487
7727,5480,1079,1849
8905,5580,1475,2392
8070,4870,1656,1903
8617,5355,1725,1890
7799,5183,1513,1839
8768,5465,1516,2087
7698,5205,1106,2077
8061,5015,1631,1871
8142,5347,1408,2067
8019,5227,1539,1957
8044,4801,1735,1980
7857,4840,1526,1833
8627,4807,2284,1900
7952,5767,949,2069
8286,4269,2147,2253
7987,5460,1072,2216
8974,5250,1445,2251
8153,4939,1555,1988
8248,5091,1594,2107
7958,4914,1620,1641
8121,5384,1289,1861
8492,5501,1122,2352
7877,5457,1198,1948
8338,5346,1455,1914
8136,4861,1433,2090
7813,4975,1331,2180
7993,5759,1066,1962
8373,4809,1582,2180
8364,5262,1498,1870
8729,5161,1517,2508
7709,5412,1190,1998
8922,5407,1687,2085
8395,5085,1838,2022
8263,4927,1896,2019
7849,5144,1457,1867
8339,5313,1562,1985
8404,5855,1020,2202
7914,5092,1426,1931
8009,5185,1813,1675
8051,5742,1181,1926
7575,5369,1185,2015
8220,5270,1572,1661
8373,4731,2145,1759
8322,5400,1229,2210
8426,4153,2241,2176
8014,5325,1381,1808
9039,5018,1770,2117
8045,5065,1388,2033
8200,5512,1383,1969
8312,5112,1547,1969
8534,5234,1397,2118
8547,5368,1207,2233
7892,5475,1225,1895
7790,5002,1427,1728
7913,5100,1119,1895
7650,5162,1203,1999
8087,5172,1415,2008
7827,5158,1489,2075
8220,4695,1768,1850
8811,4909,1704,2429
7951,5391,1256,1854
8477,5298,1749,1695
8685,5132,1843,2083
8183,5134,1653,2035
8089,5075,1519,2187
8321,5270,1487,1979
8195,5875,926,1981
8369,4822,1479,2288
7534,5130,1414,1881
8288,5449,1565,1977
7722,5301,1337,1881
7784,5184,1232,1897
8734,4786,2081,2087
8596,5206,1403,2401
8135,4308,2103,2101
8119,5528,1248,1851
8611,4987,1857,1939
7896,5096,1503,1835
8151,5702,1277,1981
8502,4901,1727,1984
8124,5664,1091,1976
8153,5334,1256,2061
7977,5706,1182,1999
